"","FBgn","Updated FBgn","symbol"
"FBgn0284249","FBgn0284249","FBgn0284249","Adf1"
"FBgn0267978","FBgn0267978","FBgn0267978","ap"
"FBgn0283451","FBgn0283451","FBgn0283451","br"
"FBgn0284248","FBgn0284248","FBgn0284248","Cyt-c-p"
"FBgn0267821","FBgn0267821","FBgn0267821","da"
"FBgn0284247","FBgn0284247","FBgn0284247","ds"
"FBgn0284245","FBgn0284245","FBgn0284245","eEF1alpha1"
"FBgn0267824","FBgn0267824","FBgn0267824","PRAS40"
"FBgn0288433","FBgn0288433","FBgn0288433","L"
"FBgn0286027","FBgn0286027","FBgn0286027","Rnmt"
"FBgn0285950","FBgn0285950","FBgn0285950","RpL19"
"FBgn0286785","FBgn0286785","FBgn0286785","scb"
"FBgn0284220","FBgn0284220","FBgn0284220","Top2"
"FBgn0284243","FBgn0284243","FBgn0284243","betaTub56D"
"FBgn0284084","FBgn0284084","FBgn0284084","wg"
"FBgn0283471","FBgn0283471","FBgn0283471","wupA"
"FBgn0283473","FBgn0283473","FBgn0283473","S6KL"
"FBgn0285896","FBgn0285896","FBgn0285896","btl"
"FBgn0283521","FBgn0283521","FBgn0283521","lola"
"FBgn0283461","FBgn0283461","FBgn0283461","Drs"
"FBgn0285917","FBgn0285917","FBgn0285917","sbb"
"FBgn0288856","FBgn0288856","FBgn0288856","peo"
"FBgn0285954","FBgn0285954","FBgn0285954","caz"
"FBgn0278608","FBgn0278608","FBgn0278608","Dsp1"
"FBgn0283476","FBgn0283476","FBgn0283476","Dhc16F"
"FBgn0283499","FBgn0283499","FBgn0283499","InR"
"FBgn0286818","FBgn0286818","FBgn0286818","Pdi"
"FBgn0270928","FBgn0270928","FBgn0270928","VAChT"
"FBgn0283535","FBgn0283535","FBgn0283535","Vha26"
"FBgn0286786","FBgn0286786","FBgn0286786","hoip"
"FBgn0039647","FBgn0039647","FBgn0039647","jus"
"FBgn0285963","FBgn0285963","FBgn0285963","CG46339"
"FBgn0283472","FBgn0283472","FBgn0283472","S6k"
"FBgn0286809","FBgn0286809","FBgn0286809","xmas"
"FBgn0285937","FBgn0285937","FBgn0285937","Rab1"
"FBgn0278604","FBgn0278604","FBgn0278604","dmt"
"FBgn0284252","FBgn0284252","FBgn0284252","Letm1"
"FBgn0284421","FBgn0284421","FBgn0284421","Psn"
"FBgn0283509","FBgn0283509","FBgn0283509","Phm"
"FBgn0275436","FBgn0275436","FBgn0275436","PheRS-m"
"FBgn0286070","FBgn0286070","FBgn0286070","cnk"
"FBgn0283652","FBgn0283652","FBgn0283652","Rpp30"
"FBgn0283494","FBgn0283494","FBgn0283494","Ak2"
"FBgn0270924","FBgn0270924","FBgn0270924","zf30C"
"FBgn0286788","FBgn0286788","FBgn0286788","Orc1"
"FBgn0283468","FBgn0283468","FBgn0283468","slmb"
"FBgn0284442","FBgn0284442","FBgn0284442","Mcm3"
"FBgn0283545","FBgn0283545","FBgn0283545","vilya"
"FBgn0283478","FBgn0283478","FBgn0283478","und"
"FBgn0285949","FBgn0285949","FBgn0285949","RpL31"
"FBgn0286198","FBgn0286198","FBgn0286198","LKRSDH"
"FBgn0283666","FBgn0283666","FBgn0283666","Rap2l"
"FBgn0286813","FBgn0286813","FBgn0286813","SRPK"
"FBgn0283536","FBgn0283536","FBgn0283536","Vha13"
"FBgn0287209","FBgn0287209","FBgn0287209","Gfat1"
"FBgn0283467","FBgn0283467","FBgn0283467","PolD3"
"FBgn0283427","FBgn0283427","FBgn0283427","FASN1"
"FBgn0283469","FBgn0283469","FBgn0283469","Vps4"
"FBgn0286781","FBgn0286781","FBgn0286781","cass"
"FBgn0286222","FBgn0286222","FBgn0286222","Fum1"
"FBgn0286723","FBgn0286723","FBgn0286723","hll"
"FBgn0285910","FBgn0285910","FBgn0285910","VhaAC39-1"
"FBgn0283651","FBgn0283651","FBgn0283651","CG46301"
"FBgn0287186","FBgn0287186","FBgn0287186","scro"
"FBgn0284435","FBgn0284435","FBgn0284435","tyn"
"FBgn0285971","FBgn0285971","FBgn0285971","prg"
"FBgn0287725","FBgn0287725","FBgn0287725","sov"
"FBgn0287454","FBgn0287454","FBgn0287454","Pa1"
"FBgn0267977","FBgn0267977","FBgn0267977","mh"
"FBgn0286508","FBgn0286508","FBgn0286508","Had1"
"FBgn0267912","FBgn0267912","FBgn0267912","CanA-14F"
"FBgn0267967","FBgn0267967","FBgn0267967","corolla"
"FBgn0283525","FBgn0283525","FBgn0283525","l(2)10685"
"FBgn0267972","FBgn0267972","FBgn0267972","Der-1"
"FBgn0283531","FBgn0283531","FBgn0283531","Duox"
"FBgn0287234","FBgn0287234","FBgn0287234","slf"
"FBgn0284255","FBgn0284255","FBgn0284255","Arpc4"
"FBgn0286898","FBgn0286898","FBgn0286898","Tango1"
"FBgn0283658","FBgn0283658","FBgn0283658","muc"
"FBgn0287630","FBgn0287630","FBgn0287630","dbf"
"FBgn0283682","FBgn0283682","FBgn0283682","Ge-1"
"FBgn0287204","FBgn0287204","FBgn0287204","Cog8"
"FBgn0284256","FBgn0284256","FBgn0284256","bsf"
"FBgn0284251","FBgn0284251","FBgn0284251","l(2)05287"
"FBgn0284246","FBgn0284246","FBgn0284246","l(2)k09848"
"FBgn0286511","FBgn0286511","FBgn0286511","Pld"
"FBgn0283450","FBgn0283450","FBgn0283450","Glo1"
"FBgn0284436","FBgn0284436","FBgn0284436","CCT8"
"FBgn0286782","FBgn0286782","FBgn0286782","flz"
"FBgn0286783","FBgn0286783","FBgn0286783","Etf-QO"
"FBgn0283510","FBgn0283510","FBgn0283510","Pal1"
"FBgn0288447","FBgn0288447","FBgn0288447","BaraA2"
"FBgn0285943","FBgn0285943","FBgn0285943","knon"
"FBgn0283480","FBgn0283480","FBgn0283480","Alp2"
"FBgn0267823","FBgn0267823","FBgn0267823","Gmer"
"FBgn0285952","FBgn0285952","FBgn0285952","eEF5"
"FBgn0283500","FBgn0283500","FBgn0283500","Sac1"
"FBgn0283724","FBgn0283724","FBgn0283724","Girdin"
"FBgn0286567","FBgn0286567","FBgn0286567","gry"
"FBgn0286051","FBgn0286051","FBgn0286051","Rexo5"
"FBgn0267796","FBgn0267796","FBgn0267796","Tmc"
"FBgn0286979","FBgn0286979","FBgn0286979","CG46439"
"FBgn0286980","FBgn0286980","FBgn0286980","Iyd"
"FBgn0283649","FBgn0283649","FBgn0283649","elgi"
"FBgn0283681","FBgn0283681","FBgn0283681","Tcs3"
"FBgn0287585","FBgn0287585","FBgn0287585","Pss"
"FBgn0283479","FBgn0283479","FBgn0283479","Alp1"
"FBgn0286516","FBgn0286516","FBgn0286516","aqz"
"FBgn0286204","FBgn0286204","FBgn0286204","ich"
"FBgn0286506","FBgn0286506","FBgn0286506","Mpi"
"FBgn0286075","FBgn0286075","FBgn0286075","DNAlig3"
"FBgn0286507","FBgn0286507","FBgn0286507","vrs"
"FBgn0283438","FBgn0283438","FBgn0283438","CG46280"
"FBgn0283439","FBgn0283439","FBgn0283439","CG46281"
"FBgn0285913","FBgn0285913","FBgn0285913","red"
"FBgn0286071","FBgn0286071","FBgn0286071","AdamTS-A"
"FBgn0286828","FBgn0286828","FBgn0286828","dind"
"FBgn0270925","FBgn0270925","FBgn0270925","CG4836"
"FBgn0286199","FBgn0286199","FBgn0286199","shps"
"FBgn0270927","FBgn0270927","FBgn0270927","betaGlu"
"FBgn0287182","FBgn0287182","FBgn0287182","l(3)80Fj"
"FBgn0287184","FBgn0287184","FBgn0287184","FASN3"
"FBgn0287225","FBgn0287225","FBgn0287225","bor"
"FBgn0283477","FBgn0283477","FBgn0283477","SF2"
"FBgn0287423","FBgn0287423","FBgn0287423","Nplp2"
"FBgn0283503","FBgn0283503","FBgn0283503","Neurl4"
"FBgn0283712","FBgn0283712","FBgn0283712","LIMK1"
"FBgn0270926","FBgn0270926","FBgn0270926","AsnS"
"FBgn0285991","FBgn0285991","FBgn0285991","hpRNA:CR18854"
"FBgn0285879","FBgn0285879","FBgn0285879","disco-r"
"FBgn0287187","FBgn0287187","FBgn0287187","mRpS5"
"FBgn0285892","FBgn0285892","FBgn0285892","tea"
"FBgn0284257","FBgn0284257","FBgn0284257","Ttd14"
"FBgn0286852","FBgn0286852","FBgn0286852","naz"
"FBgn0283728","FBgn0283728","FBgn0283728","CG31600"
"FBgn0284244","FBgn0284244","FBgn0284244","l(2)k05911"
"FBgn0268063","FBgn0268063","FBgn0268063","ltl"
"FBgn0285970","FBgn0285970","FBgn0285970","CG32500"
"FBgn0284253","FBgn0284253","FBgn0284253","LeuRS"
"FBgn0284254","FBgn0284254","FBgn0284254","Impbeta11"
"FBgn0267976","FBgn0267976","FBgn0267976","Tim23"
"FBgn0287183","FBgn0287183","FBgn0287183","l(3)80Fg"
"FBgn0267861","FBgn0267861","FBgn0267861","Maf1"
"FBgn0284444","FBgn0284444","FBgn0284444","ddbt"
"FBgn0267910","FBgn0267910","FBgn0267910","lncRNA:CR34335"
"FBgn0267849","FBgn0267849","FBgn0267849","Syx7"
"FBgn0283657","FBgn0283657","FBgn0283657","Tlk"
"FBgn0285955","FBgn0285955","FBgn0285955","cv-c"
"FBgn0250840","FBgn0250840","FBgn0250840","CG12907"
"FBgn0284221","FBgn0284221","FBgn0284221","Sema5c"
"FBgn0287478","FBgn0287478","FBgn0287478","Camta"
"FBgn0286203","FBgn0286203","FBgn0286203","stw"
"FBgn0287185","FBgn0287185","FBgn0287185","nvd"
"FBgn0286213","FBgn0286213","FBgn0286213","RpS12"
"FBgn0285951","FBgn0285951","FBgn0285951","mRpS34"
"FBgn0286784","FBgn0286784","FBgn0286784","TER94"
"FBgn0285911","FBgn0285911","FBgn0285911","Vps16A"
"FBgn0283437","FBgn0283437","FBgn0283437","PPO1"
"FBgn0284408","FBgn0284408","FBgn0284408","trol"
"FBgn0283741","FBgn0283741","FBgn0283741","prage"
"FBgn0285947","FBgn0285947","FBgn0285947","RpS10b"
"FBgn0285948","FBgn0285948","FBgn0285948","RpL27A"
"FBgn0261846","FBgn0261846","FBgn0261846","CG42778"
"FBgn0283659","FBgn0283659","FBgn0283659","THG"
"FBgn0262095","FBgn0262095","FBgn0262095","CR42848"
"FBgn0286006","FBgn0286006","FBgn0286006","mir-281-1"
"FBgn0286007","FBgn0286007","FBgn0286007","mir-281-2"
"FBgn0267975","FBgn0267975","FBgn0267975","vib"
"FBgn0283440","FBgn0283440","FBgn0283440","solo"
"FBgn0283442","FBgn0283442","FBgn0283442","vas"
"FBgn0283508","FBgn0283508","FBgn0283508","nw"
"FBgn0285926","FBgn0285926","FBgn0285926","Imp"
"FBgn0285925","FBgn0285925","FBgn0285925","Fas1"
"FBgn0262818","FBgn0262818","FBgn0262818","CG43189"
"FBgn0286827","FBgn0286827","FBgn0286827","lncRNA:CR43334"
"FBgn0285944","FBgn0285944","FBgn0285944","para"
"FBgn0283680","FBgn0283680","FBgn0283680","IP3K2"
"FBgn0266704","FBgn0266704","FBgn0266704","CR45194"
"FBgn0283501","FBgn0283501","FBgn0283501","lncRNA:CR46115"
